ASPECT: asus. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . asus has not responded to numerous request for an update of the status of repair . ##### EAIO
ASPECT: sound, external speakers. CATEGORY: multimediadevices operationperformance, multimediadevices operationperformance. OPINION: fine, good. SENTIMENT: positive, positive #####  . the sound is fine , and using external speakers gives it a good movie theater experience . ##### EAEO
ASPECT: file system. CATEGORY: os usability. OPINION: complicated. SENTIMENT: negative #####  . the file system is complicated . ##### EAEO
ASPECT: tech support. CATEGORY: support general. OPINION: no help. SENTIMENT: negative #####  . when i called tech support , they could do no help . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard general. OPINION: like. SENTIMENT: positive #####  . i like the keyboard . ##### EAEO
ASPECT: os. CATEGORY: os general. OPINION: null. SENTIMENT: neutral #####  . the os is easy to use if you are familiar with any os . ##### EAIO
ASPECT: product, product. CATEGORY: laptop general, laptop price. OPINION: excited, affordable. SENTIMENT: positive, positive #####  . i am so excited to receive and review this product , and even more excited that it is so affordable ! ##### EAEO
ASPECT: pixel. CATEGORY: display operationperformance. OPINION: null. SENTIMENT: negative #####  . if you look closely at the pixel on the bottom right corner you can see it flickering . ##### EAIO
ASPECT: fingerprint scanner. CATEGORY: hardware operationperformance. OPINION: null. SENTIMENT: negative #####  . fingerprint scanner does not work . ##### EAIO
ASPECT: laptop. CATEGORY: laptop general. OPINION: solid. SENTIMENT: positive #####  . this is a solid laptop for the casual user , especially at this price point . ##### EAEO
ASPECT: speaker. CATEGORY: multimediadevices operationperformance. OPINION: well. SENTIMENT: positive #####  . the speaker works well for a laptop . ##### EAEO
ASPECT: hard drive. CATEGORY: harddisc general. OPINION: null. SENTIMENT: negative #####  . the hard drive is the only component that isn ' t solid state . ##### EAIO
ASPECT: internet access. CATEGORY: ports general. OPINION: null. SENTIMENT: positive #####  . provides internet access to areas where none was available before . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . it ' s beautiful and i love it , but i think i have to send it back . ##### IAIO
ASPECT: backlighting, mbp. CATEGORY: keyboard general, keyboard designfeatures. OPINION: comparable, brighter. SENTIMENT: positive, positive #####  . the backlighting on the mbp is comparable to the macbook pro world line , but brighter . ##### EAEO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: fast. SENTIMENT: positive #####  . this laptop is very fast . ##### EAEO
ASPECT: shipping. CATEGORY: shipping operationperformance. OPINION: fast. SENTIMENT: positive #####  . shipping was fast . ##### EAEO
ASPECT: computer. CATEGORY: laptop price. OPINION: good. SENTIMENT: positive #####  . the computer itself is very good , to be sure ; the specs are good , the build is good ( though a little fragile , imo ) , and the price is good . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . this laptop will be for school , netflix and youtube mostly . ##### EAIO
